Date_,Deaths,Daily_Deaths
2020-02-29,1.0,
2020-03-01,1.0,0.0
2020-03-02,6.0,5.0
2020-03-03,7.0,1.0
2020-03-04,11.0,4.0
2020-03-05,12.0,1.0
2020-03-06,14.0,2.0
2020-03-07,17.0,3.0
2020-03-08,21.0,4.0
2020-03-09,22.0,1.0
2020-03-10,28.0,6.0
2020-03-11,36.0,8.0
2020-03-12,40.0,4.0
2020-03-13,47.0,7.0
2020-03-14,54.0,7.0
2020-03-15,63.0,9.0
2020-03-16,85.0,22.0
2020-03-17,108.0,23.0
2020-03-18,118.0,10.0
2020-03-19,200.0,82.0
2020-03-20,244.0,44.0
2020-03-21,307.0,63.0
2020-03-22,437.0,130.0
2020-03-23,579.0,142.0
2020-03-24,719.0,140.0
2020-03-25,958.0,239.0
2020-03-26,1226.0,268.0
2020-03-27,1604.0,378.0
2020-03-28,2049.0,445.0
2020-03-29,2506.0,457.0
2020-03-30,3021.0,515.0
2020-03-31,3907.0,886.0
2020-04-01,4880.0,973.0
2020-04-02,6059.0,1179.0
2020-04-03,7250.0,1191.0
2020-04-04,8583.0,1333.0
2020-04-05,9814.0,1231.0
2020-04-06,11097.0,1283.0
2020-04-07,13043.0,1946.0
2020-04-08,15019.0,1976.0
2020-04-09,16770.0,1751.0
2020-04-10,18869.0,2099.0
2020-04-11,20745.0,1876.0
2020-04-12,22366.0,1621.0
2020-04-13,23939.0,1573.0
2020-04-14,26226.0,2287.0
2020-04-15,28725.0,2499.0
2020-04-16,33286.0,4561.0
2020-04-17,37162.0,3876.0
2020-04-18,39054.0,1892.0
2020-04-19,41090.0,2036.0
2020-04-20,42583.0,1493.0
2020-04-21,44902.0,2319.0
2020-04-22,47099.0,2197.0
2020-04-23,50421.0,3322.0
2020-04-24,52444.0,2023.0
2020-04-25,54257.0,1813.0
2020-04-26,55448.0,1191.0
2020-04-27,56871.0,1423.0
2020-04-28,58949.0,2078.0
2020-04-29,61457.0,2508.0
2020-04-30,63358.0,1901.0
2020-05-01,65324.0,1966.0
2020-05-02,66903.0,1579.0
2020-05-03,68280.0,1377.0
2020-05-04,69560.0,1280.0
2020-05-05,71632.0,2072.0
2020-05-06,73839.0,2207.0
2020-05-07,76069.0,2230.0
2020-05-08,77598.0,1529.0
2020-05-09,79200.0,1602.0
2020-05-10,80004.0,804.0
2020-05-11,81194.0,1190.0
2020-05-12,82862.0,1668.0
2020-05-13,84562.0,1700.0
2020-05-14,86357.0,1795.0
2020-05-15,87982.0,1625.0
2020-05-16,89191.0,1209.0
2020-05-17,90054.0,863.0
2020-05-18,90893.0,839.0
2020-05-19,92371.0,1478.0
2020-05-20,93871.0,1500.0
2020-05-21,95093.0,1222.0
2020-05-22,96342.0,1249.0
2020-05-23,97429.0,1087.0
2020-05-24,98074.0,645.0
2020-05-25,98608.0,534.0
2020-05-26,99303.0,695.0
2020-05-27,100764.0,1461.0
2020-05-28,101880.0,1116.0
2020-05-29,103051.0,1171.0
2020-05-30,104023.0,972.0
2020-05-31,104656.0,633.0
2020-06-01,105421.0,765.0
2020-06-02,106372.0,951.0
2020-06-03,107373.0,1001.0
2020-06-04,108403.0,1030.0
2020-06-05,109535.0,1132.0
2020-06-06,110238.0,703.0
2020-06-07,110700.0,462.0
2020-06-08,111167.0,467.0
2020-06-09,112117.0,950.0
2020-06-10,113025.0,908.0
2020-06-11,113886.0,861.0
2020-06-12,114735.0,849.0
2020-06-13,115475.0,740.0
2020-06-14,115803.0,328.0
2020-06-15,116194.0,391.0
2020-06-16,117009.0,815.0
2020-06-17,117759.0,750.0
2020-06-18,118453.0,694.0
2020-06-19,119108.0,655.0
2020-06-20,119668.0,560.0
2020-06-21,119950.0,282.0
2020-06-22,120390.0,440.0
2020-06-23,121119.0,729.0
2020-06-24,121850.0,731.0
2020-06-25,124271.0,2421.0
2020-06-26,124909.0,638.0
2020-06-27,125412.0,503.0
2020-06-28,125716.0,304.0
2020-06-29,126058.0,342.0
2020-06-30,127270.0,1212.0
2020-07-01,127923.0,653.0
2020-07-02,128618.0,695.0
2020-07-03,129295.0,677.0
2020-07-04,129585.0,290.0
2020-07-05,129892.0,307.0
2020-07-06,130248.0,356.0
2020-07-07,131390.0,1142.0
2020-07-08,132170.0,780.0
2020-07-09,133176.0,1006.0
2020-07-10,133981.0,805.0
2020-07-11,134700.0,719.0
2020-07-12,135138.0,438.0
2020-07-13,135570.0,432.0
2020-07-14,136476.0,906.0
2020-07-15,137426.0,950.0
2020-07-16,138382.0,956.0
2020-07-17,139280.0,898.0
2020-07-18,140128.0,848.0
2020-07-19,140573.0,445.0
2020-07-20,140993.0,420.0
2020-07-21,142066.0,1073.0
2020-07-22,143265.0,1199.0
2020-07-23,144360.0,1095.0
2020-07-24,145570.0,1210.0
2020-07-25,146522.0,952.0
2020-07-26,147054.0,532.0
2020-07-27,148177.0,1123.0
2020-07-28,149439.0,1262.0
2020-07-29,150821.0,1382.0
2020-07-30,152181.0,1360.0
2020-07-31,153448.0,1267.0
2020-08-01,154565.0,1117.0
2020-08-02,155010.0,445.0
2020-08-03,155597.0,587.0
2020-08-04,156904.0,1307.0
2020-08-05,158355.0,1451.0
2020-08-06,160201.0,1846.0
2020-08-07,161445.0,1244.0
2020-08-08,162515.0,1070.0
2020-08-09,163039.0,524.0
2020-08-10,163667.0,628.0
2020-08-11,164686.0,1019.0
2020-08-12,166183.0,1497.0
2020-08-13,167258.0,1075.0
2020-08-14,168596.0,1338.0
2020-08-15,169597.0,1001.0
2020-08-16,170210.0,613.0
2020-08-17,170698.0,488.0
2020-08-18,171919.0,1221.0
2020-08-19,173277.0,1358.0
2020-08-20,174379.0,1102.0
2020-08-21,175474.0,1095.0
2020-08-22,176392.0,918.0
2020-08-23,176932.0,540.0
2020-08-24,177406.0,474.0
2020-08-25,178643.0,1237.0
2020-08-26,179802.0,1159.0
2020-08-27,180931.0,1129.0
2020-08-28,181908.0,977.0
2020-08-29,182810.0,902.0
2020-08-30,183258.0,448.0
2020-08-31,183754.0,496.0
2020-09-01,184782.0,1028.0
2020-09-02,185865.0,1083.0
2020-09-03,186900.0,1035.0
2020-09-04,187856.0,956.0
2020-09-05,188632.0,776.0
2020-09-06,189096.0,464.0
2020-09-07,189383.0,287.0
2020-09-08,189829.0,446.0
2020-09-09,191012.0,1183.0
2020-09-10,191924.0,912.0
2020-09-11,193093.0,1169.0
2020-09-12,193800.0,707.0
2020-09-13,194229.0,429.0
2020-09-14,194656.0,427.0
2020-09-15,195860.0,1204.0
2020-09-16,196821.0,961.0
2020-09-17,197679.0,858.0
2020-09-18,198578.0,899.0
2020-09-19,199308.0,730.0
2020-09-20,199563.0,255.0
2020-09-21,199988.0,425.0
2020-09-22,201023.0,1035.0
2020-09-23,202074.0,1051.0
2020-09-24,202966.0,892.0
2020-09-25,203910.0,944.0
2020-09-26,204676.0,766.0
2020-09-27,204978.0,302.0
2020-09-28,205329.0,351.0
2020-09-29,206169.0,840.0
2020-09-30,207142.0,973.0
2020-10-01,208023.0,881.0
2020-10-02,208869.0,846.0
2020-10-03,209563.0,694.0
2020-10-04,209939.0,376.0
2020-10-05,210411.0,472.0
2020-10-06,211102.0,691.0
2020-10-07,212020.0,918.0
2020-10-08,213001.0,981.0
2020-10-09,213961.0,960.0
2020-10-10,214613.0,652.0
2020-10-11,215063.0,450.0
2020-10-12,215446.0,383.0
2020-10-13,216250.0,804.0
2020-10-14,217244.0,994.0
2020-10-15,218081.0,837.0
2020-10-16,219003.0,922.0
2020-10-17,219735.0,732.0
2020-10-18,220190.0,455.0
2020-10-19,220656.0,466.0
2020-10-20,221580.0,924.0
2020-10-21,222710.0,1130.0
2020-10-22,223605.0,895.0
2020-10-23,224568.0,963.0
2020-10-24,225502.0,934.0
2020-10-25,225930.0,428.0
2020-10-26,226439.0,509.0
2020-10-27,227430.0,991.0
2020-10-28,228459.0,1029.0
2020-10-29,229471.0,1012.0
2020-10-30,230512.0,1041.0
2020-10-31,231441.0,929.0
2020-11-01,231929.0,488.0
2020-11-02,232464.0,535.0
2020-11-03,234057.0,1593.0
2020-11-04,235201.0,1144.0
2020-11-05,236370.0,1169.0
2020-11-06,237634.0,1264.0
2020-11-07,238740.0,1106.0
2020-11-08,239301.0,561.0
2020-11-09,240077.0,776.0
2020-11-10,241538.0,1461.0
2020-11-11,243028.0,1490.0
2020-11-12,244396.0,1368.0
2020-11-13,245596.0,1200.0
2020-11-14,246943.0,1347.0
2020-11-15,247720.0,777.0
2020-11-16,248549.0,829.0
2020-11-17,250270.0,1721.0
2020-11-18,252189.0,1919.0
2020-11-19,254242.0,2053.0
2020-11-20,256199.0,1957.0
2020-11-21,257818.0,1619.0
2020-11-22,258851.0,1033.0
2020-11-23,259951.0,1100.0
2020-11-24,262080.0,2129.0
2020-11-25,264343.0,2263.0
2020-11-26,265728.0,1385.0
2020-11-27,267277.0,1549.0
2020-11-28,268638.0,1361.0
2020-11-29,269674.0,1036.0
2020-11-30,271020.0,1346.0
2020-12-01,273566.0,2546.0
2020-12-02,276381.0,2815.0
2020-12-03,279337.0,2956.0
2020-12-04,282036.0,2699.0
2020-12-05,284390.0,2354.0
2020-12-06,285736.0,1346.0
2020-12-07,287342.0,1606.0
2020-12-08,289963.0,2621.0
2020-12-09,293146.0,3183.0
2020-12-10,296141.0,2995.0
2020-12-11,299559.0,3418.0
2020-12-12,302021.0,2462.0
2020-12-13,303649.0,1628.0
2020-12-14,305301.0,1652.0
2020-12-15,308420.0,3119.0
2020-12-16,312084.0,3664.0
2020-12-17,315586.0,3502.0
2020-12-18,318554.0,2968.0
2020-12-19,321210.0,2656.0
2020-12-20,322925.0,1715.0
2020-12-21,324845.0,1920.0
2020-12-22,328244.0,3399.0
2020-12-23,331665.0,3421.0
2020-12-24,334573.0,2908.0
2020-12-25,336001.0,1428.0
2020-12-26,337886.0,1885.0
2020-12-27,339313.0,1427.0
2020-12-28,341317.0,2004.0
2020-12-29,344950.0,3633.0
2020-12-30,348683.0,3733.0
2020-12-31,352163.0,3480.0
2021-01-01,354313.0,2150.0
2021-01-02,356821.0,2508.0
2021-01-03,358268.0,1447.0
2021-01-04,360362.0,2094.0
2021-01-05,364077.0,3715.0
2021-01-06,368004.0,3927.0
2021-01-07,371992.0,3988.0
2021-01-08,376100.0,4108.0
2021-01-09,379422.0,3322.0
2021-01-10,381422.0,2000.0
2021-01-11,383526.0,2104.0
2021-01-12,388001.0,4475.0
2021-01-13,392032.0,4031.0
2021-01-14,396020.0,3988.0
2021-01-15,399913.0,3893.0
2021-01-16,403317.0,3404.0
2021-01-17,405216.0,1899.0
2021-01-18,406751.0,1535.0
2021-01-19,409484.0,2733.0
2021-01-20,413892.0,4408.0
2021-01-21,418097.0,4205.0
2021-01-22,421944.0,3847.0
2021-01-23,425289.0,3345.0
2021-01-24,427188.0,1899.0
2021-01-25,429165.0,1977.0
2021-01-26,433173.0,4008.0
2021-01-27,437134.0,3961.0
2021-01-28,441173.0,4039.0
2021-01-29,444808.0,3635.0
2021-01-30,447594.0,2786.0
2021-01-31,449448.0,1854.0
2021-02-01,451515.0,2067.0
2021-02-02,454945.0,3430.0
2021-02-03,458852.0,3907.0
2021-02-04,462589.0,3737.0
2021-02-05,466277.0,3688.0
2021-02-06,468918.0,2641.0
2021-02-07,470355.0,1437.0
2021-02-08,471972.0,1617.0
2021-02-09,475047.0,3075.0
2021-02-10,478357.0,3310.0
2021-02-11,481565.0,3208.0
2021-02-12,484494.0,2929.0
2021-02-13,486692.0,2198.0
2021-02-14,487853.0,1161.0
2021-02-15,488812.0,959.0
2021-02-16,490562.0,1750.0
2021-02-17,492968.0,2406.0
2021-02-18,495487.0,2519.0
2021-02-19,498118.0,2631.0
2021-02-20,499936.0,1818.0
2021-02-21,501185.0,1249.0
2021-02-22,502508.0,1323.0
2021-02-23,504782.0,2274.0
2021-02-24,507961.0,3179.0
2021-02-25,510407.0,2446.0
2021-02-26,512475.0,2068.0
2021-02-27,513990.0,1515.0
2021-02-28,515084.0,1094.0
2021-03-01,516606.0,1522.0
2021-03-02,518556.0,1950.0
2021-03-03,521047.0,2491.0
2021-03-04,522985.0,1938.0
2021-03-05,524770.0,1785.0
2021-03-06,526276.0,1506.0
2021-03-07,526974.0,698.0
2021-03-08,527714.0,740.0
2021-03-09,529521.0,1807.0
2021-03-10,531094.0,1573.0
2021-03-11,532663.0,1569.0
2021-03-12,534234.0,1571.0
2021-03-13,535232.0,998.0
2021-03-14,535813.0,581.0
2021-03-15,536570.0,757.0
2021-03-16,537749.0,1179.0
2021-03-17,538984.0,1235.0
2021-03-18,540650.0,1666.0
2021-03-19,541799.0,1149.0
2021-03-20,542543.0,744.0
2021-03-21,542983.0,440.0
2021-03-22,543703.0,720.0
2021-03-23,544580.0,877.0
2021-03-24,546093.0,1513.0
2021-03-25,547504.0,1411.0
2021-03-26,548659.0,1155.0
2021-03-27,549447.0,788.0
2021-03-28,549970.0,523.0
2021-03-29,550683.0,713.0
2021-03-30,551570.0,887.0
2021-03-31,552661.0,1091.0
2021-04-01,553739.0,1078.0
2021-04-02,554692.0,953.0
2021-04-03,555429.0,737.0
2021-04-04,555723.0,294.0
2021-04-05,556242.0,519.0
2021-04-06,557103.0,861.0
2021-04-07,559696.0,2593.0
2021-04-08,560719.0,1023.0
2021-04-09,561608.0,889.0
2021-04-10,562325.0,717.0
2021-04-11,562626.0,301.0
2021-04-12,563103.0,477.0
2021-04-13,563936.0,833.0
2021-04-14,564910.0,974.0
2021-04-15,565810.0,900.0
2021-04-16,566682.0,872.0
2021-04-17,567375.0,693.0
2021-04-18,567710.0,335.0
2021-04-19,568211.0,501.0
2021-04-20,569048.0,837.0
2021-04-21,569908.0,860.0
2021-04-22,570867.0,959.0
2021-04-23,571645.0,778.0
2021-04-24,572387.0,742.0
2021-04-25,572677.0,290.0
2021-04-26,573167.0,490.0
2021-04-27,573818.0,651.0
2021-04-28,574787.0,969.0
2021-04-29,575654.0,867.0
2021-04-30,576397.0,743.0
2021-05-01,577116.0,719.0
2021-05-02,577452.0,336.0
2021-05-03,577944.0,492.0
2021-05-04,578822.0,878.0
2021-05-05,579603.0,781.0
2021-05-06,580398.0,795.0
2021-05-07,581154.0,756.0
2021-05-08,581771.0,617.0
2021-05-09,582013.0,242.0
2021-05-10,582414.0,401.0
2021-05-11,583091.0,677.0
2021-05-12,583942.0,851.0
2021-05-13,584748.0,806.0
2021-05-14,585407.0,659.0
2021-05-15,585884.0,477.0
2021-05-16,586147.0,263.0
2021-05-17,586540.0,393.0
2021-05-18,587300.0,760.0
2021-05-19,587955.0,655.0
2021-05-20,588620.0,665.0
2021-05-21,589223.0,603.0
2021-05-22,589703.0,480.0
2021-05-23,589893.0,190.0
2021-05-24,590320.0,427.0
2021-05-25,590941.0,621.0
2021-05-26,591950.0,1009.0
2021-05-27,593288.0,1338.0
2021-05-28,593963.0,675.0
